Cycle,GNNEpisode,GNNReward,GNNLoss,AGVPeakStress
10,29,9.95,0.0123,0.0
11,0,9.95,0.0123,0.0
11,1,9.95,0.0123,0.0
11,2,9.95,0.0123,0.0
11,3,9.95,0.0123,0.0
11,4,9.95,0.0123,0.0
11,5,9.95,0.0123,0.0
11,6,9.95,0.0123,0.0
11,7,9.95,0.0123,0.0
11,8,9.95,0.0123,0.0
11,9,9.95,0.0123,0.0
11,10,9.95,0.0123,0.0
11,11,9.95,0.0123,0.0
11,12,9.95,0.0123,0.0
11,13,9.95,0.0123,0.0
11,14,9.95,0.0123,0.0
11,15,9.95,0.0123,0.0
11,16,9.95,0.0123,0.0
11,17,9.95,0.0123,0.0
11,18,9.95,0.0123,0.0
11,19,9.95,0.0123,0.0
11,20,9.95,0.0123,0.0
11,21,9.95,0.0123,0.0
11,22,9.95,0.0123,0.0
11,23,9.95,0.0123,0.0
11,24,9.95,0.0123,0.0
11,25,9.95,0.0123,0.0
11,26,9.95,0.0123,0.0
11,27,9.95,0.0123,0.0
11,28,9.95,0.0123,0.0
11,29,9.95,0.0123,0.0
12,0,9.95,0.0123,0.0
12,1,9.95,0.0123,0.0
12,2,9.95,0.0123,0.0
12,3,9.95,0.0123,0.0
12,4,9.95,0.0123,0.0
12,5,9.95,0.0123,0.0
12,6,9.95,0.0123,0.0
12,7,9.95,0.0123,0.0
12,8,9.95,0.0123,0.0
12,9,9.95,0.0123,0.0
12,10,9.95,0.0123,0.0
12,11,9.95,0.0123,0.0
12,12,9.95,0.0123,0.0
12,13,9.95,0.0123,0.0
12,14,9.95,0.0123,0.0
12,15,9.95,0.0123,0.0
12,16,9.95,0.0123,0.0
12,17,9.95,0.0123,0.0
12,18,9.95,0.0123,0.0
12,19,9.95,0.0123,0.0
12,20,9.95,0.0123,0.0
12,21,9.95,0.0123,0.0
12,22,9.95,0.0123,0.0
12,23,9.95,0.0123,0.0
12,24,9.95,0.0123,0.0
12,25,9.95,0.0123,0.0
12,26,9.95,0.0123,0.0
12,27,9.95,0.0123,0.0
12,28,9.95,0.0123,0.0
12,29,9.95,0.0123,0.0
13,0,9.95,0.0123,0.0
13,1,9.95,0.0123,0.0
13,2,9.95,0.0123,0.0
13,3,9.95,0.0123,0.0
13,4,9.95,0.0123,0.0
13,5,9.95,0.0123,0.0
13,6,9.95,0.0123,0.0
13,7,9.95,0.0123,0.0
13,8,9.95,0.0123,0.0
13,9,9.95,0.0123,0.0
13,10,9.95,0.0123,0.0
13,11,9.95,0.0123,0.0
13,12,9.95,0.0123,0.0
13,13,9.95,0.0123,0.0
13,14,9.95,0.0123,0.0
13,15,9.95,0.0123,0.0
13,16,9.95,0.0123,0.0
13,17,9.95,0.0123,0.0
13,18,9.95,0.0123,0.0
13,19,9.95,0.0123,0.0
13,20,9.95,0.0123,0.0
13,21,9.95,0.0123,0.0
13,22,9.95,0.0123,0.0
13,23,9.95,0.0123,0.0
13,24,9.95,0.0123,0.0
13,25,9.95,0.0123,0.0
13,26,9.95,0.0123,0.0
13,27,9.95,0.0123,0.0
13,28,9.95,0.0123,0.0
13,29,9.95,0.0123,0.0
14,0,9.95,0.0123,0.0
14,1,9.95,0.0123,0.0
14,2,9.95,0.0123,0.0
14,3,9.95,0.0123,0.0
14,4,9.95,0.0123,0.0
14,5,9.95,0.0123,0.0
14,6,9.95,0.0123,0.0
14,7,9.95,0.0123,0.0
14,8,9.95,0.0123,0.0
14,9,9.95,0.0123,0.0
14,10,9.95,0.0123,0.0
14,11,9.95,0.0123,0.0
14,12,9.95,0.0123,0.0
14,13,9.95,0.0123,0.0
14,14,9.95,0.0123,0.0
14,15,9.95,0.0123,0.0
14,16,9.95,0.0123,0.0
14,17,9.95,0.0123,0.0
14,18,9.95,0.0123,0.0
14,19,9.95,0.0123,0.0
14,20,9.95,0.0123,0.0
14,21,9.95,0.0123,0.0
14,22,9.95,0.0123,0.0
14,23,9.95,0.0123,0.0
14,24,9.95,0.0123,0.0
14,25,9.95,0.0123,0.0
14,26,9.95,0.0123,0.0
14,27,9.95,0.0123,0.0
14,28,9.95,0.0123,0.0
14,29,9.95,0.0123,0.0
15,0,9.95,0.0123,0.0
15,1,9.95,0.0123,0.0
15,2,9.95,0.0123,0.0
15,3,9.95,0.0123,0.0
15,4,9.95,0.0123,0.0
15,5,9.95,0.0123,0.0
15,6,9.95,0.0123,0.0
15,7,9.95,0.0123,0.0
15,8,9.95,0.0123,0.0
15,9,9.95,0.0123,0.0
15,10,9.95,0.0123,0.0
15,11,9.95,0.0123,0.0
15,12,9.95,0.0123,0.0
15,13,9.95,0.0123,0.0
15,14,9.95,0.0123,0.0
15,15,9.95,0.0123,0.0
15,16,9.95,0.0123,0.0
15,17,9.95,0.0123,0.0
15,18,9.95,0.0123,0.0
15,19,9.95,0.0123,0.0
15,20,9.95,0.0123,0.0
15,21,9.95,0.0123,0.0
15,22,9.95,0.0123,0.0
15,23,9.95,0.0123,0.0
15,24,9.95,0.0123,0.0
15,25,9.95,0.0123,0.0
15,26,9.95,0.0123,0.0
15,27,9.95,0.0123,0.0
15,28,9.95,0.0123,0.0
15,29,9.95,0.0123,0.0
